epoch,train_loss,train_miou,train_pixel_acc,train_mean_acc,val_loss,val_miou,val_pixel_acc,val_mean_acc,lr,epoch_time
1,2.68117,0.04465,0.26628,0.09899,2.29433,0.03576,0.28178,0.09359,0.001,26.83665
2,2.04400,0.05179,0.30995,0.10621,1.82115,0.07806,0.39234,0.13740,0.0009887429363102974,17.19353
3,1.82360,0.07250,0.37769,0.13261,1.69306,0.09055,0.43645,0.15248,0.0009774716137503495,17.87773
4,1.73751,0.07515,0.39446,0.13638,1.59483,0.09923,0.45514,0.16219,0.0009661858310936048,16.30023
5,1.68914,0.08514,0.41811,0.14872,1.52510,0.07557,0.42677,0.14519,0.0009548853816214997,14.87961
6,1.68258,0.08378,0.41947,0.14704,1.57396,0.11517,0.49616,0.18753,0.0009435700528992709,16.68192
7,1.62716,0.09680,0.45481,0.16308,1.40203,0.12679,0.54804,0.19577,0.0009322396265394996,16.07161
8,1.60017,0.10154,0.47080,0.17042,1.36946,0.12884,0.55539,0.19840,0.0009208938779525476,14.32144
9,1.55273,0.10772,0.49291,0.17623,1.32985,0.13227,0.56831,0.20038,0.0009095325760829623,14.59456
10,1.58692,0.09904,0.46422,0.16591,1.35407,0.13172,0.56559,0.20308,0.0008981554831308602,15.09446
11,1.52848,0.10984,0.50433,0.17800,1.29186,0.13395,0.57753,0.20163,0.0008867623542572073,14.82262
12,1.57860,0.09877,0.46796,0.16747,1.26209,0.13714,0.58471,0.20580,0.0008753529372718213,14.48958
13,1.50451,0.10837,0.49812,0.17877,1.21405,0.14395,0.60070,0.21833,0.0008639269723028191,14.23222
14,1.35040,0.12340,0.54823,0.19513,1.15319,0.15137,0.62340,0.22921,0.0008524841914461165,14.49997
15,1.32201,0.13592,0.56609,0.20700,1.11838,0.15755,0.63810,0.23153,0.0008410243183934575,14.43961
16,1.28823,0.13345,0.56711,0.20574,1.13932,0.16187,0.63822,0.23636,0.0008295470680373175,15.80565
17,1.32688,0.13585,0.57001,0.20825,1.12224,0.15797,0.63429,0.23435,0.0008180521460508585,14.18971
18,1.27204,0.13792,0.57799,0.21072,1.11746,0.16252,0.64549,0.23836,0.0008065392484409501,14.96610
19,1.28280,0.14010,0.57815,0.21314,1.01833,0.17052,0.66490,0.24326,0.000795008061072074,15.37993
20,1.21913,0.15010,0.60118,0.22210,0.97201,0.17398,0.67629,0.24711,0.0007834582591587099,14.40204
21,1.16243,0.15203,0.60322,0.22298,0.92192,0.17584,0.67542,0.24717,0.0007718895067235705,14.61388
22,1.14181,0.15709,0.61620,0.22879,0.94286,0.18304,0.66502,0.25287,0.0007603014560187753,14.15771
23,1.12871,0.15823,0.63168,0.22794,0.96653,0.18053,0.67756,0.24836,0.0007486937469067589,13.59453
24,1.22452,0.14828,0.59350,0.21949,0.99237,0.17352,0.67149,0.24597,0.0007370660061973679,16.29546
25,1.17005,0.14998,0.61443,0.22378,0.89907,0.17711,0.68216,0.24994,0.0007254178469372199,16.17973
