epoch,train_loss,train_miou,train_pixel_acc,train_mean_acc,val_loss,val_miou,val_pixel_acc,val_mean_acc,lr,epoch_time
1,2.67415,0.02224,0.10461,0.08864,2.66577,0.02408,0.17563,0.08936,0.01,15.55868
2,2.65626,0.02744,0.21956,0.09124,2.64239,0.02413,0.17806,0.08678,0.009887429363102976,15.07721
3,2.63111,0.03043,0.22682,0.08900,2.61470,0.02840,0.18386,0.08400,0.009774716137503496,13.57428
4,2.60431,0.03850,0.24283,0.09095,2.58602,0.04289,0.27175,0.09703,0.009661858310936048,13.93755
5,2.57459,0.04231,0.28978,0.09544,2.55772,0.04023,0.32127,0.09785,0.009548853816214998,14.10792
6,2.54652,0.03395,0.30624,0.09437,2.53074,0.03219,0.32270,0.09354,0.009435700528992709,13.88536
7,2.52729,0.02771,0.28836,0.09227,2.50611,0.02982,0.31896,0.09175,0.009322396265394996,13.37486
8,2.49932,0.02812,0.30589,0.09121,2.48356,0.02894,0.31702,0.09102,0.009208938779525475,12.77590
9,2.47909,0.02677,0.29410,0.09094,2.46308,0.02881,0.31674,0.09092,0.009095325760829623,12.50115
10,2.46467,0.02539,0.27926,0.09091,2.44454,0.02880,0.31673,0.09092,0.008981554831308601,12.46214
11,2.44976,0.02747,0.30211,0.09091,2.42806,0.02879,0.31671,0.09091,0.008867623542572074,12.31594
12,2.43348,0.02753,0.30281,0.09091,2.41319,0.02879,0.31671,0.09091,0.008753529372718213,12.62620
13,2.41261,0.02627,0.28901,0.09091,2.39960,0.02879,0.31671,0.09091,0.008639269723028191,12.22085
14,2.40155,0.02697,0.29671,0.09091,2.38728,0.02879,0.31671,0.09091,0.008524841914461165,12.52251
15,2.38859,0.02713,0.29844,0.09091,2.37599,0.02879,0.31671,0.09091,0.008410243183934575,12.67515
16,2.37756,0.02740,0.30138,0.09091,2.36582,0.02879,0.31671,0.09091,0.008295470680373175,13.06737
17,2.36940,0.02549,0.28035,0.09091,2.35662,0.02879,0.31671,0.09091,0.008180521460508584,12.47538
18,2.36140,0.02552,0.28076,0.09091,2.34833,0.02879,0.31671,0.09091,0.0080653924844095,12.30777
19,2.36207,0.02498,0.27483,0.09091,2.34089,0.02879,0.31671,0.09091,0.00795008061072074,12.47558
20,2.34747,0.02679,0.29464,0.09091,2.33403,0.02880,0.31672,0.09091,0.0078345825915871,12.20602
21,2.34273,0.02803,0.30826,0.09091,2.32760,0.02880,0.31673,0.09092,0.007718895067235705,11.51414
22,2.32978,0.02592,0.28498,0.09092,2.32169,0.02884,0.31682,0.09095,0.007603014560187753,11.29658
23,2.32916,0.02659,0.29214,0.09095,2.31622,0.02890,0.31695,0.09100,0.007486937469067589,11.60725
24,2.32928,0.02642,0.28983,0.09098,2.31127,0.02897,0.31710,0.09105,0.007370660061973678,12.14508
25,2.33205,0.02622,0.28736,0.09101,2.30683,0.02900,0.31716,0.09107,0.007254178469372199,12.04248
26,2.32434,0.02684,0.29385,0.09104,2.30264,0.02907,0.31731,0.09113,0.007137488676469779,12.12660
27,2.31102,0.02699,0.29512,0.09107,2.29863,0.02916,0.31751,0.09120,0.00702058651501696,12.19210
28,2.30669,0.02793,0.30465,0.09115,2.29478,0.02921,0.31763,0.09124,0.006903467654488615,12.94160
29,2.29981,0.02691,0.29295,0.09119,2.29127,0.02928,0.31779,0.09130,0.006786127592581251,12.53386
30,2.30813,0.02613,0.28435,0.09119,2.28803,0.02938,0.31802,0.09139,0.006668561644960107,11.80583
31,2.29176,0.02619,0.28416,0.09126,2.28498,0.02954,0.31839,0.09152,0.006550764934180986,11.63626
32,2.30186,0.02597,0.28001,0.09143,2.28212,0.02984,0.31902,0.09176,0.006432732377702437,11.69324
33,2.29455,0.02640,0.28261,0.09163,2.27932,0.03045,0.32029,0.09227,0.006314458674893553,11.93501
34,2.29300,0.03013,0.31895,0.09203,2.27654,0.03099,0.32140,0.09273,0.0061959382929304835,11.52043
35,2.28157,0.02900,0.30295,0.09237,2.27387,0.03147,0.32235,0.09313,0.006077165451460892,12.18306
36,2.29210,0.02902,0.30017,0.09263,2.27136,0.03219,0.32375,0.09372,0.005958134105899569,12.48186
37,2.29351,0.02887,0.29324,0.09311,2.26883,0.03306,0.32549,0.09445,0.0058388379291998025,12.36338
38,2.28807,0.02923,0.29154,0.09361,2.26633,0.03429,0.32791,0.09548,0.005719270291923575,13.06577
39,2.27293,0.03298,0.32183,0.09453,2.26385,0.03540,0.33015,0.09644,0.005599424240408453,12.36496
40,2.26560,0.03218,0.30802,0.09505,2.26139,0.03690,0.33319,0.09775,0.0054792924727996815,12.50907
41,2.26790,0.03256,0.30224,0.09598,2.25892,0.03915,0.33777,0.09975,0.005358867312681466,13.26028
42,2.28690,0.03551,0.31697,0.09758,2.25648,0.04207,0.34384,0.10247,0.005238140680000752,12.57796
43,2.27319,0.03716,0.31056,0.10031,2.25397,0.04610,0.35249,0.10635,0.005117104058928822,12.65059
44,2.27436,0.04224,0.33318,0.10351,2.25132,0.05013,0.36161,0.11039,0.004995748462248901,12.84488
45,2.27121,0.04455,0.33613,0.10618,2.24846,0.05439,0.37157,0.11481,0.004874064391789954,13.02402
46,2.26646,0.04916,0.35446,0.10970,2.24542,0.05825,0.38083,0.11899,0.004752041794345411,12.65869
47,2.27122,0.05044,0.34668,0.11225,2.24210,0.06228,0.39078,0.12343,0.004629670012417444,12.95874
48,2.27409,0.05365,0.35493,0.11574,2.23847,0.06661,0.40154,0.12832,0.00450693772900891,12.50556
49,2.25788,0.05823,0.36698,0.12042,2.23438,0.07098,0.41221,0.13333,0.0043838329055408696,12.75198
50,2.23938,0.06315,0.38224,0.12507,2.22959,0.07588,0.42363,0.13902,0.004260342711797408,12.92046
51,2.25541,0.06554,0.37727,0.12845,2.22393,0.08030,0.43307,0.14416,0.004136453446582762,12.98411
52,2.24481,0.07001,0.39413,0.13225,2.21736,0.08368,0.43897,0.14802,0.004012150447507641,13.05053
53,2.24152,0.07277,0.39810,0.13448,2.20962,0.08591,0.44101,0.15055,0.0038874179879876346,12.70373
54,2.22811,0.07421,0.39927,0.13511,2.20064,0.08738,0.44050,0.15222,0.0037622391591176675,13.12641
55,2.21961,0.07482,0.39605,0.13438,2.19032,0.08757,0.43633,0.15254,0.003636595733556942,13.11410
56,2.24460,0.07453,0.38914,0.13453,2.17922,0.08777,0.43411,0.15342,0.0035104680078842446,13.10021
57,2.23031,0.07318,0.38204,0.13279,2.16724,0.08708,0.43000,0.15369,0.0033838346190164987,12.84288
58,2.20235,0.07397,0.38016,0.13480,2.15362,0.08580,0.42480,0.15433,0.0032566723291590875,12.98699
59,2.20142,0.07179,0.37314,0.13353,2.13999,0.08427,0.42029,0.15484,0.0031289557722833567,13.12737
60,2.18594,0.07046,0.36924,0.13163,2.12632,0.08199,0.41633,0.15568,0.0030006571531761097,12.36200
61,2.17662,0.06886,0.37431,0.13074,2.11419,0.07967,0.41541,0.15656,0.0028717458874925874,13.07508
62,2.16707,0.06860,0.38393,0.13348,2.10337,0.07788,0.41887,0.15896,0.0027421881676983322,15.00969
63,2.16591,0.06507,0.37639,0.13352,2.09436,0.07745,0.42472,0.16113,0.0026119464349067855,14.70266
64,2.15906,0.06698,0.39190,0.13724,2.08633,0.07754,0.43078,0.16317,0.0024809787298045436,15.35370
65,2.16879,0.06205,0.37310,0.13170,2.07967,0.07836,0.43736,0.16526,0.0023492378861760376,12.88758
66,2.14604,0.06377,0.38164,0.13701,2.07364,0.07897,0.44153,0.16651,0.0022166705165320953,12.42629
67,2.16218,0.06470,0.38925,0.13899,2.06827,0.07975,0.44537,0.16769,0.002083215718655689,13.69793
68,2.11960,0.06746,0.39620,0.14449,2.06310,0.08049,0.44839,0.16865,0.0019488034005995176,13.35689
69,2.12584,0.06880,0.40422,0.14400,2.05827,0.08097,0.45040,0.16928,0.0018133520731367456,12.45170
70,2.11373,0.06877,0.40953,0.14145,2.05398,0.08123,0.45177,0.16973,0.0016767658810915265,12.25501
71,2.12517,0.06896,0.40752,0.14297,2.05014,0.08148,0.45307,0.17014,0.0015389305166811453,12.59963
72,2.11390,0.06829,0.39787,0.14646,2.04673,0.08173,0.45414,0.17050,0.0013997074372496866,13.82401
73,2.12665,0.07038,0.41659,0.14505,2.04382,0.08203,0.45537,0.17089,0.001258925411794167,11.74421
74,2.10724,0.07017,0.41383,0.14422,2.04126,0.08221,0.45617,0.17114,0.00111636766199682,11.67766
75,2.09944,0.07095,0.41636,0.14592,2.03914,0.08250,0.45721,0.17150,0.000971751315111567,11.70709
76,2.11207,0.06936,0.40890,0.14326,2.03738,0.08275,0.45806,0.17178,0.0008246924442330589,11.46747
77,2.08249,0.07121,0.41850,0.14510,2.03594,0.08292,0.45867,0.17197,0.0006746414238367822,12.23640
78,2.10061,0.07213,0.42641,0.14489,2.03488,0.08306,0.45915,0.17213,0.0005207486358606603,12.46498
79,2.08250,0.07307,0.42757,0.14760,2.03410,0.08324,0.45963,0.17229,0.0003615313873979815,12.16292
80,2.10472,0.07334,0.42913,0.14726,2.03369,0.08331,0.45985,0.17236,0.00019373987344354152,12.47616
