epoch,train_loss,train_miou,train_pixel_acc,train_mean_acc,val_loss,val_miou,val_pixel_acc,val_mean_acc,lr,epoch_time
1,1.98675,0.05786,0.31131,0.11686,1.61561,0.09322,0.47724,0.17551,0.0001,50.14209
2,1.55427,0.09700,0.46901,0.16283,1.31719,0.14093,0.57284,0.21037,9.887429363102976e-05,37.93426
3,1.48611,0.11400,0.50243,0.18329,1.33403,0.13524,0.56868,0.21157,9.774716137503496e-05,38.45671
4,1.40449,0.12250,0.53273,0.19164,1.28217,0.12830,0.55311,0.20668,9.661858310936048e-05,38.54025
5,1.29210,0.13990,0.57813,0.21088,1.16196,0.13869,0.58750,0.21706,9.548853816214998e-05,38.73457
6,1.29413,0.14055,0.58231,0.21085,1.09487,0.16639,0.63562,0.23829,9.43570052899271e-05,38.41915
7,1.23201,0.15436,0.60718,0.22199,1.03667,0.17746,0.64551,0.24529,9.322396265394996e-05,38.12767
8,1.18317,0.16007,0.62041,0.22844,0.97113,0.18192,0.67395,0.24504,9.208938779525476e-05,38.21700
9,1.17775,0.15919,0.62399,0.22710,1.06955,0.18174,0.65385,0.24630,9.095325760829622e-05,38.35783
10,1.13330,0.16821,0.63819,0.23460,0.98244,0.18408,0.67797,0.24721,8.981554831308602e-05,37.79706
11,1.09797,0.16678,0.64135,0.23571,0.88586,0.18728,0.68728,0.25249,8.867623542572074e-05,38.27315
12,1.10337,0.17097,0.64051,0.23887,0.88337,0.18981,0.69410,0.25519,8.753529372718214e-05,39.62904
13,0.99608,0.17691,0.67486,0.24344,0.84720,0.19218,0.69637,0.25664,8.639269723028191e-05,38.87816
14,1.01287,0.17659,0.66517,0.24301,0.85314,0.19804,0.69577,0.26072,8.524841914461165e-05,37.80429
15,0.95123,0.18560,0.67840,0.24961,0.79748,0.20022,0.70588,0.26393,8.410243183934575e-05,38.19961
16,1.02107,0.18114,0.65073,0.24993,0.86099,0.19992,0.68020,0.27457,8.295470680373175e-05,38.32887
17,0.95824,0.19231,0.67226,0.25875,0.83334,0.21447,0.69315,0.28350,8.180521460508584e-05,39.67003
18,0.95025,0.18772,0.66679,0.25272,0.76425,0.21168,0.70573,0.27104,8.065392484409501e-05,38.73570
19,0.96245,0.18743,0.67427,0.25214,0.76769,0.20797,0.71247,0.26967,7.95008061072074e-05,38.11636
