epoch,train_loss,train_miou,train_pixel_acc,train_mean_acc,val_loss,val_miou,val_pixel_acc,val_mean_acc,lr,epoch_time
1,1.37898,0.13789,0.55305,0.20583,0.68279,0.26468,0.78607,0.32754,0.0001,45.93679
2,0.63890,0.26463,0.78765,0.32799,0.47051,0.30218,0.82244,0.35334,9.887429363102976e-05,35.69492
3,0.50384,0.36045,0.83629,0.42759,0.38142,0.42033,0.87716,0.48662,9.774716137503496e-05,35.45444
4,0.50391,0.38595,0.85070,0.46351,0.29721,0.44776,0.90786,0.50892,9.661858310936048e-05,36.98819
5,0.36288,0.42281,0.88382,0.49000,0.26032,0.46537,0.91400,0.52242,9.548853816214998e-05,37.52729
6,0.33804,0.47166,0.89369,0.54230,0.27138,0.50855,0.91337,0.58876,9.43570052899271e-05,39.58663
7,0.30957,0.51408,0.90085,0.59252,0.22567,0.55608,0.92910,0.61278,9.322396265394996e-05,37.95297
8,0.27962,0.55932,0.91235,0.63647,0.24707,0.55751,0.92100,0.63422,9.208938779525476e-05,39.85141
9,0.31065,0.54778,0.90428,0.62993,0.22630,0.58405,0.92872,0.65436,9.095325760829622e-05,39.25607
10,0.27965,0.57588,0.91074,0.65378,0.20047,0.60270,0.93581,0.67057,8.981554831308602e-05,38.66798
11,0.27094,0.59601,0.91480,0.67258,0.20375,0.61012,0.93464,0.68812,8.867623542572074e-05,38.88022
12,0.24963,0.61009,0.92027,0.68502,0.19287,0.60971,0.93745,0.67411,8.753529372718214e-05,38.28259
13,0.23782,0.62190,0.92362,0.69352,0.18615,0.64259,0.93977,0.71573,8.639269723028191e-05,38.26563
14,0.21732,0.64631,0.92934,0.71736,0.18164,0.64146,0.94061,0.70455,8.524841914461165e-05,39.21761
15,0.20289,0.65105,0.93448,0.72223,0.17927,0.64474,0.94016,0.72037,8.410243183934575e-05,38.86849
16,0.21794,0.65163,0.92905,0.72591,0.19470,0.63399,0.93722,0.69182,8.295470680373175e-05,37.38016
17,0.19379,0.66640,0.93557,0.73559,0.19130,0.65358,0.93819,0.71950,8.180521460508584e-05,36.13758
18,0.20272,0.67367,0.93439,0.74323,0.20539,0.66725,0.93645,0.75014,8.065392484409501e-05,40.83170
19,0.22280,0.67162,0.92918,0.74782,0.18010,0.66810,0.94020,0.73750,7.95008061072074e-05,36.24675
20,0.17982,0.71391,0.93972,0.78496,0.17053,0.68280,0.94423,0.75220,7.8345825915871e-05,35.77954
21,0.18824,0.70504,0.93792,0.78034,0.16814,0.69026,0.94325,0.76842,7.718895067235705e-05,36.17902
22,0.19808,0.70605,0.93512,0.78337,0.16417,0.69693,0.94447,0.77330,7.603014560187754e-05,35.90795
23,0.18926,0.70785,0.93767,0.78115,0.17467,0.69180,0.94348,0.76951,7.48693746906759e-05,36.65594
24,0.16186,0.73190,0.94544,0.80170,0.15194,0.71463,0.94837,0.79607,7.370660061973678e-05,38.65441
25,0.17716,0.72905,0.94030,0.80394,0.15864,0.70303,0.94577,0.78563,7.2541784693722e-05,38.22759
26,0.19261,0.70858,0.93802,0.78180,0.16562,0.70189,0.94424,0.76876,7.137488676469779e-05,38.17830
27,0.17258,0.72993,0.94116,0.80300,0.15805,0.71457,0.94529,0.78612,7.02058651501696e-05,38.62599
28,0.17727,0.73857,0.94088,0.80968,0.15935,0.71598,0.94656,0.78638,6.903467654488616e-05,37.67404
29,0.17408,0.74002,0.94125,0.80955,0.15491,0.71444,0.94772,0.79532,6.78612759258125e-05,37.88133
30,0.17330,0.74275,0.94126,0.81395,0.15329,0.71409,0.94846,0.77501,6.668561644960107e-05,37.67795
31,0.15917,0.74681,0.94430,0.81924,0.15930,0.71391,0.94504,0.77830,6.550764934180986e-05,36.49356
32,0.16587,0.73811,0.94315,0.81234,0.15449,0.72193,0.94754,0.79901,6.432732377702438e-05,37.18431
33,0.15535,0.75297,0.94600,0.82097,0.15037,0.72344,0.94902,0.78516,6.314458674893553e-05,36.86185
34,0.16105,0.75102,0.94554,0.82093,0.17135,0.72020,0.94138,0.82813,6.195938292930484e-05,37.79223
35,0.15460,0.75604,0.94626,0.82521,0.14594,0.72424,0.94981,0.79761,6.0771654514608925e-05,37.62109
36,0.14466,0.75704,0.94980,0.82703,0.15515,0.71853,0.94774,0.82471,5.9581341058995686e-05,37.41383
37,0.22464,0.69366,0.92839,0.77414,0.17646,0.69976,0.94295,0.75233,5.838837929199803e-05,39.66285
38,0.15466,0.73874,0.94707,0.80916,0.14602,0.72956,0.95024,0.79779,5.7192702919235754e-05,39.77379
39,0.15567,0.74965,0.94546,0.82230,0.14066,0.73629,0.95187,0.80055,5.599424240408453e-05,39.35943
40,0.15847,0.74902,0.94540,0.82210,0.15154,0.72204,0.94883,0.78166,5.479292472799682e-05,38.03641
41,0.14834,0.75970,0.94879,0.82877,0.17943,0.69375,0.93805,0.80330,5.358867312681466e-05,39.36680
42,0.15051,0.76246,0.94719,0.83370,0.14050,0.73881,0.95178,0.80041,5.2381406800007524e-05,39.35554
43,0.13718,0.77321,0.95216,0.83902,0.13565,0.73652,0.95354,0.79358,5.117104058928822e-05,39.31782
44,0.12517,0.78416,0.95562,0.84703,0.14103,0.74790,0.95225,0.81479,4.995748462248901e-05,38.78871
45,0.13681,0.77500,0.95248,0.84269,0.14363,0.73567,0.95035,0.79880,4.874064391789954e-05,40.00937
